endmember,rank,mineral,chapter,sad_degrees,interpretation,alignment_mode
1,1,s07_AV97_Opal_TM8896_(Hyalite)_NIC4aa_RREF,ChapterM_Minerals,1.853963512092747,strong match,select_bands-exact
1,2,s07_AV97_Opalized_Tuff_CU00-15E_ASDFRb_AREF,ChapterS_SoilsAndMixtures,2.2157589575348524,strong match,select_bands-exact
1,3,s07_AV97_Lepidolite_HS167.1B_ASDFRb_AREF,ChapterM_Minerals,2.234182686840338,strong match,select_bands-exact
2,1,s07_AV97_Jarosite_GDS98_K_90C_Syn_NIC4a_RREF,ChapterM_Minerals,2.254424869896433,strong match,select_bands-exact
2,2,s07_AV97_Jarosite_GDS100_Na_90C_Syn_NIC4aa_RREF,ChapterM_Minerals,2.364179151123284,strong match,select_bands-exact
2,3,s07_AV97_Goethite_WS220_NIC4cd_RREF,ChapterM_Minerals,2.5955819293474462,strong match,select_bands-exact
3,1,s07_AV97_Ammonio-Illite-Smect_GDS87_NIC4bb_RREF,ChapterM_Minerals,2.790695956282561,strong match,select_bands-exact
3,2,s07_AV97_Microcline_HS82.3B_Feldspr_NIC4ccu_RREF,ChapterM_Minerals,3.4295282625286134,strong match,select_bands-exact
3,3,s07_AV97_Halite_HS433.3B_NIC4aau_RREF,ChapterM_Minerals,3.449384613692295,strong match,select_bands-exact
4,1,s07_AV97_Alun_Na+Kaol+Hemat_MV00-11a_ASDFRc_AREF,ChapterS_SoilsAndMixtures,2.9882193082294437,strong match,select_bands-exact
4,2,s07_AV97_Alunite_GDS82_Na82_NIC4b_RREF,ChapterM_Minerals,3.676964188577466,strong match,select_bands-exact
4,3,s07_AV97_Halloysite_CM13_NIC4bbb_RREF,ChapterM_Minerals,3.7296973676137686,strong match,select_bands-exact
5,1,s07_AV97_Alunite.5+MuscCU91-250A_AMX4_ASDNGa_AREF,ChapterS_SoilsAndMixtures,2.8639989740467287,strong match,select_bands-exact
5,2,s07_AV97_Alunite_K_CU98-5C_MedTemp_ASDFRb_AREF,ChapterS_SoilsAndMixtures,3.4467316279893527,strong match,select_bands-exact
5,3,s07_AV97_Montmorillonite_CM20_BECKb_AREF,ChapterM_Minerals,3.7103614359189656,strong match,select_bands-exact
6,1,s07_AV97_Montmorillonite-Na_CU93-52A_BECKc_AREF,ChapterS_SoilsAndMixtures,0.5463530243575992,strong match,select_bands-exact
6,2,s07_AV97_Stonewall_Playa_CU93-52A_a11_BECKa_AREF,ChapterS_SoilsAndMixtures,0.5463530243575992,strong match,select_bands-exact
6,3,s07_AV97_Stonewall_Playa_Dry_Mud_2001_ASDFRa_AREF,ChapterS_SoilsAndMixtures,1.8364235955825332,strong match,select_bands-exact
7,1,s07_AV97_Pyroxmangite_HS325.3B_NIC4bb_RREF,ChapterM_Minerals,1.2692646378999104,strong match,select_bands-exact
7,2,s07_AV97_Thenardite_GDS146_NIC4ccu_RREF,ChapterM_Minerals,1.4315900493513798,strong match,select_bands-exact
7,3,s07_AV97_Marialite_NMNH126018-2_NIC4cbu_RREF,ChapterM_Minerals,1.615851401957715,strong match,select_bands-exact
8,1,s07_AV97_Jarosite_GDS98_K_90C_Syn_NIC4aa_RREF,ChapterM_Minerals,2.2960915057831617,strong match,select_bands-exact
8,2,s07_AV97_Kaolin-Smect_KLF511_.12Kaol_BECKb_AREF,ChapterS_SoilsAndMixtures,2.333962114712088,strong match,select_bands-exact
8,3,s07_AV97_Tincalconite_GDS142_NIC4aau_RREF,ChapterM_Minerals,2.991757521953834,strong match,select_bands-exact
9,1,s07_AV97_Kaol_wxl+others_CU00-19A_ASDFRb_AREF,ChapterS_SoilsAndMixtures,1.5577055587021649,strong match,select_bands-exact
9,2,s07_AV97_Kaol+Muscov_intimate_CU93-5C_BECKa_AREF,ChapterS_SoilsAndMixtures,3.4672361153696727,strong match,select_bands-exact
9,3,s07_AV97_Pectolite_NMNH94865.a_NIC4bb_RREF,ChapterM_Minerals,3.762732030622062,strong match,select_bands-exact
10,1,s07_AV97_Alunite_GDS95_Na_Syn_(150C)_NIC4a_RREF,ChapterM_Minerals,3.494844750130059,strong match,select_bands-exact
10,2,s07_AV97_Alunite+Pyrophyl_SD1093A_BECKb_AREF,ChapterS_SoilsAndMixtures,4.150419918444903,strong match,select_bands-exact
10,3,s07_AV97_Alunite_GDS82_Na82_NIC4b_RREF,ChapterM_Minerals,4.188716691514135,strong match,select_bands-exact
11,1,s07_AV97_Alunite_GDS96_K_Syn_(250C)_NIC4a_RREF,ChapterM_Minerals,1.640543585151149,strong match,select_bands-exact
11,2,s07_AV97_Alunite_GDS97_K_Syn_(150C)_NIC4a_RREF,ChapterM_Minerals,2.4043770531651303,strong match,select_bands-exact
11,3,s07_AV97_Alunite_RES-2_K_Syn_(450C)_NIC4a_RREF,ChapterM_Minerals,2.589695245071131,strong match,select_bands-exact
12,1,s07_AV97_Jarosite_GDS98_K_90C_Syn_NIC4aa_RREF,ChapterM_Minerals,3.299316443513885,strong match,select_bands-exact
12,2,s07_AV97_Kaolin_Smect_H89-FR-5_.3Kaol_BECKb_AREF,ChapterS_SoilsAndMixtures,3.4813964444313976,strong match,select_bands-exact
12,3,s07_AV97_Montmorillonite_CM20_NIC4bc_RREF,ChapterM_Minerals,3.8347407936345266,strong match,select_bands-exact
13,1,s07_AV97_Rectorite_ISR202_(RAr-1)_BECKd_AREF,ChapterM_Minerals,3.0711965737557794,strong match,select_bands-exact
13,2,s07_AV97_Tincalconite_GDS142_NIC4aau_RREF,ChapterM_Minerals,3.5062905150937174,strong match,select_bands-exact
13,3,s07_AV97_Jarosite_GDS98_K_90C_Syn_NIC4aa_RREF,ChapterM_Minerals,3.509608257249212,strong match,select_bands-exact
14,1,s07_AV97_Tincalconite_GDS142_NIC4aau_RREF,ChapterM_Minerals,2.7162677835260607,strong match,select_bands-exact
14,2,s07_AV97_Sauconite_GDS135_NIC4bbu_RREF,ChapterM_Minerals,3.538682709705772,strong match,select_bands-exact
14,3,s07_AV97_Jarosite_GDS98_K_90C_Syn_NIC4aa_RREF,ChapterM_Minerals,3.58668549368702,strong match,select_bands-exact
