endmember,rank,mineral,chapter,sad_degrees,interpretation,alignment_mode
1,1,s07_AV97_Opal_TM8896_(Hyalite)_NIC4aa_RREF,ChapterM_Minerals,1.853963512092747,strong match,select_bands-exact
1,2,s07_AV97_Opalized_Tuff_CU00-15E_ASDFRb_AREF,ChapterS_SoilsAndMixtures,2.2157589575348524,strong match,select_bands-exact
1,3,s07_AV97_Lepidolite_HS167.1B_ASDFRb_AREF,ChapterM_Minerals,2.234182686840338,strong match,select_bands-exact
2,1,s07_AV97_Jarosite_GDS98_K_90C_Syn_NIC4a_RREF,ChapterM_Minerals,2.254424869896433,strong match,select_bands-exact
2,2,s07_AV97_Jarosite_GDS100_Na_90C_Syn_NIC4aa_RREF,ChapterM_Minerals,2.364179151123284,strong match,select_bands-exact
2,3,s07_AV97_Goethite_WS220_NIC4cd_RREF,ChapterM_Minerals,2.5955819293474462,strong match,select_bands-exact
3,1,s07_AV97_Alun_Na+Kaol+Hemat_MV00-11a_ASDFRc_AREF,ChapterS_SoilsAndMixtures,2.9882193082294437,strong match,select_bands-exact
3,2,s07_AV97_Alunite_GDS82_Na82_NIC4b_RREF,ChapterM_Minerals,3.676964188577466,strong match,select_bands-exact
3,3,s07_AV97_Halloysite_CM13_NIC4bbb_RREF,ChapterM_Minerals,3.7296973676137686,strong match,select_bands-exact
4,1,s07_AV97_Alunite.5+MuscCU91-250A_AMX4_ASDNGa_AREF,ChapterS_SoilsAndMixtures,2.8639989740467287,strong match,select_bands-exact
4,2,s07_AV97_Alunite_K_CU98-5C_MedTemp_ASDFRb_AREF,ChapterS_SoilsAndMixtures,3.4467316279893527,strong match,select_bands-exact
4,3,s07_AV97_Montmorillonite_CM20_BECKb_AREF,ChapterM_Minerals,3.7103614359189656,strong match,select_bands-exact
5,1,s07_AV97_Montmorillonite-Na_CU93-52A_BECKc_AREF,ChapterS_SoilsAndMixtures,1.2611814444884066,strong match,select_bands-exact
5,2,s07_AV97_Stonewall_Playa_CU93-52A_a11_BECKa_AREF,ChapterS_SoilsAndMixtures,1.2611814444884066,strong match,select_bands-exact
5,3,s07_AV97_Stonewall_Playa_Dry_Mud_2001_ASDFRa_AREF,ChapterS_SoilsAndMixtures,1.5118494857500604,strong match,select_bands-exact
6,1,s07_AV97_Ammonio-Illite-Smect_GDS87_NIC4bb_RREF,ChapterM_Minerals,2.790695956282561,strong match,select_bands-exact
6,2,s07_AV97_Microcline_HS82.3B_Feldspr_NIC4ccu_RREF,ChapterM_Minerals,3.4295282625286134,strong match,select_bands-exact
6,3,s07_AV97_Halite_HS433.3B_NIC4aau_RREF,ChapterM_Minerals,3.449384613692295,strong match,select_bands-exact
7,1,s07_AV97_Alunite+Dickite_MV99-6-26b_ASDFRc_AREF,ChapterS_SoilsAndMixtures,2.527179416053913,strong match,select_bands-exact
7,2,s07_AV97_Kaol_wxl+others_CU00-19A_ASDFRb_AREF,ChapterS_SoilsAndMixtures,3.6373913284414114,strong match,select_bands-exact
7,3,s07_AV97_Halloysite+Kaolinite_CM29_NIC4aaa_RREF,ChapterS_SoilsAndMixtures,3.6376504731649,strong match,select_bands-exact
8,1,s07_AV97_Jarosite_GDS98_K_90C_Syn_NIC4aa_RREF,ChapterM_Minerals,2.2178581730077647,strong match,select_bands-exact
8,2,s07_AV97_Kaolin-Smect_KLF511_.12Kaol_BECKb_AREF,ChapterS_SoilsAndMixtures,2.9246008282929448,strong match,select_bands-exact
8,3,s07_AV97_Tincalconite_GDS142_NIC4aau_RREF,ChapterM_Minerals,2.930555889890861,strong match,select_bands-exact
9,1,s07_AV97_Montmorillonite-Na_CU93-52A_BECKc_AREF,ChapterS_SoilsAndMixtures,0.38634906097624183,strong match,select_bands-exact
9,2,s07_AV97_Stonewall_Playa_CU93-52A_a11_BECKa_AREF,ChapterS_SoilsAndMixtures,0.38634906097624183,strong match,select_bands-exact
9,3,s07_AV97_Stonewall_Playa_Dry_Mud_2001_ASDFRa_AREF,ChapterS_SoilsAndMixtures,1.5995629974567465,strong match,select_bands-exact
10,1,s07_AV97_Gyp+jar+ill_BRCM1_Marysvale_ASDFRb_AREF,ChapterS_SoilsAndMixtures,3.942593765793297,strong match,select_bands-exact
10,2,s07_AV97_Kaol_wxl+others_CU00-19A_ASDFRb_AREF,ChapterS_SoilsAndMixtures,4.821010098248741,strong match,select_bands-exact
10,3,s07_AV97_Alunite_GDS95_Na_Syn_(150C)_NIC4a_RREF,ChapterM_Minerals,4.926444804505177,strong match,select_bands-exact
11,1,s07_AV97_Pyroxmangite_HS325.3B_NIC4bb_RREF,ChapterM_Minerals,1.578667466265113,strong match,select_bands-exact
11,2,s07_AV97_Thenardite_GDS146_NIC4ccu_RREF,ChapterM_Minerals,1.6318284327024912,strong match,select_bands-exact
11,3,s07_AV97_Marialite_NMNH126018-2_NIC4cbu_RREF,ChapterM_Minerals,1.9302522478176773,strong match,select_bands-exact
12,1,s07_AV97_Tincalconite_GDS142_NIC4aau_RREF,ChapterM_Minerals,3.3528579819061277,strong match,select_bands-exact
12,2,s07_AV97_Mesolite+Hydroxyapop_GDS6_NIC4bc_RREF,ChapterS_SoilsAndMixtures,3.666211852832963,strong match,select_bands-exact
12,3,s07_AV97_Sauconite_GDS135_NIC4bbu_RREF,ChapterM_Minerals,3.6970371350553077,strong match,select_bands-exact
