window,endmember,rank,mineral,chapter,angle_deg,gap_to_next,library_median_deg,endmember_max_depth,cuprite_reported,flag
SWIR,1,1,s07_AV97_Chalcedony_CU91-6A_ASDNGa_AREF,ChapterM_Minerals,14.056255354313617,0.3631721961745402,53.162538099078205,0.060436827337933874,True,
SWIR,1,2,s07_AV97_Olivine_GDS70.e_Fo89_lt30um_ASDNGb_AREF,ChapterM_Minerals,14.419427550488157,,53.162538099078205,0.060436827337933874,False,
SWIR,1,3,s07_AV97_Labradorite_HS17.1B_ASDFRc_AREF,ChapterM_Minerals,14.452489107664354,,53.162538099078205,0.060436827337933874,False,
SWIR,2,1,s07_AV97_Olivine_GDS70.a_Fo89_165um_NIC4bbb_RREF,ChapterM_Minerals,32.93536637398053,3.263914600747512,58.5629512501393,0.062009828887813256,False,
SWIR,2,2,s07_AV97_Pyrite_S26-8_BECKc_AREF,ChapterM_Minerals,36.19928097472804,,58.5629512501393,0.062009828887813256,False,
SWIR,2,3,s07_AV97_Bronzite_HS9.3B_Pyroxene_BECKc_AREF,ChapterM_Minerals,37.29070368780733,,58.5629512501393,0.062009828887813256,False,
SWIR,3,1,s07_AV97_Buddingtonite_GDS85_D-206_BECKb_AREF,ChapterM_Minerals,13.596891880204092,2.231062402350071,68.11749725046974,0.1740007884455551,True,
SWIR,3,2,s07_AV97_Alunite_NH4+Jaro_NMNH145596A_NIC4bb_RREF,ChapterS_SoilsAndMixtures,15.827954282554163,,68.11749725046974,0.1740007884455551,True,
SWIR,3,3,s07_AV97_Pyrite_GDS483.c_30-60um_ASDFRc_AREF,ChapterM_Minerals,17.025927587100785,,68.11749725046974,0.1740007884455551,False,
SWIR,4,1,s07_AV97_Kaol_wxl+others_CU00-19A_ASDFRb_AREF,ChapterS_SoilsAndMixtures,5.321435747358336,1.4495252006659411,63.82293635817148,0.2665314715199062,False,
SWIR,4,2,s07_AV97_Halloysite+Kaolinite_CM29_NIC4aaa_RREF,ChapterS_SoilsAndMixtures,6.770960948024277,,63.82293635817148,0.2665314715199062,True,
SWIR,4,3,s07_AV97_Kaolinite_KGa-2_(pxl)_ASDNGb_AREF,ChapterM_Minerals,7.554996614126463,,63.82293635817148,0.2665314715199062,True,
SWIR,5,1,s07_AV97_Alunite_K_CU98-5C_MedTemp_ASDFRb_AREF,ChapterS_SoilsAndMixtures,6.58406840255978,4.7238139836312,63.47541511827864,0.18434243274096562,True,
SWIR,5,2,s07_AV97_Kalun+kaol+gth_mv2-ar3_ASDFRb_AREF,ChapterS_SoilsAndMixtures,11.30788238619098,,63.47541511827864,0.18434243274096562,False,
SWIR,5,3,s07_AV97_Alun366+.50PyroPYS1A_GDS222_BECKb_AREF,ChapterS_SoilsAndMixtures,14.632569210721666,,63.47541511827864,0.18434243274096562,False,
SWIR,6,1,s07_AV97_Illite_IL105_(1Md)_BECKb_AREF,ChapterM_Minerals,18.640850479576574,0.28591730879078625,51.65589040384239,0.07406498981417986,True,
SWIR,6,2,s07_AV97_Microcline_HS151.2B_Feldspar_ASDFRc_AREF,ChapterM_Minerals,18.92676778836736,,51.65589040384239,0.07406498981417986,False,
SWIR,6,3,s07_AV97_Perthite_HS415.2B_ASDFRc_AREF,ChapterM_Minerals,18.998038171414095,,51.65589040384239,0.07406498981417986,False,
SWIR,7,1,s07_AV97_Olivine_GDS70.a_Fo89_165um_NIC4bbb_RREF,ChapterM_Minerals,38.44757009719387,0.8981366450726966,59.71564653503831,0.02785153440991417,False,
SWIR,7,2,s07_AV97_Pyrite_S26-8_BECKc_AREF,ChapterM_Minerals,39.345706742266565,,59.71564653503831,0.02785153440991417,False,
SWIR,7,3,s07_AV97_Galena_S102-1B_BECKb_AREF,ChapterM_Minerals,40.02019402268899,,59.71564653503831,0.02785153440991417,False,
